epoch,train_loss,train_acc,val_loss,val_acc
1,0.5893332434062729,0.8033002811289612,0.3340778022257229,0.8738824769086388
2,0.3460661667902055,0.8666448513885631,0.30308628196309007,0.8816866160659894
3,0.3233809514157766,0.8740414654927577,0.29247885167432874,0.8844855689283303
4,0.314335386232519,0.8770750239762255,0.28835561096502393,0.8849959662149925
5,0.30960552784539014,0.878797607728371,0.2860155203510564,0.8856874722162767
6,0.30578225069401055,0.8796907993035575,0.2834992526539746,0.8861484762171329
7,0.30395997386035783,0.880509901254996,0.2817764675809368,0.8870375553616412
8,0.3019291224776667,0.8811931722295626,0.28093959681966607,0.8876302747913134
9,0.3003618203539048,0.8820266804967297,0.28008120725218744,0.8874820949338953
10,0.2992724535110472,0.8820801896694368,0.27952876710160807,0.8874656305052934
11,0.2986425991897386,0.88259675899057,0.2784301899364331,0.8873997727908853
12,0.29731741689144614,0.8826193974867154,0.2781833126106404,0.8886181405074337
13,0.2972253674583221,0.8831503731235774,0.2782226952817832,0.8878443123631394
14,0.29643374839286507,0.8829774973348316,0.2775217177440528,0.8886181405074337
15,0.2954910820175991,0.882878711169834,0.2772714514564706,0.8884534962214137
16,0.2951391424105629,0.8832738558298243,0.2767364878368081,0.8885522827930257
17,0.2949550359854482,0.8830948059057663,0.27657159337310566,0.8885522827930257
18,0.29428933848335415,0.8835290534227348,0.27595695082083466,0.8889474290794738
19,0.29474301751889803,0.883144198988265,0.2759428092677814,0.8891450022226979
20,0.29419003921047576,0.8835619821444006,0.2758363298333931,0.8888815713650657
21,0.2940235718570695,0.8831894759805556,0.2760089292879651,0.8890956089368919
22,0.2937348181401809,0.8834858344755484,0.27549490109197666,0.889556612937748
23,0.29338268493249936,0.8842987622916744,0.27538033484203567,0.8894742907947379
24,0.2925615931326484,0.883833644098144,0.27491847909250344,0.8891450022226979
25,0.29263371485660467,0.8841444089088657,0.2752774279959431,0.8890626800796878
26,0.29220873231703914,0.8843934323664637,0.2744526754540498,0.889556612937748
27,0.2919946483139555,0.8842781818406332,0.2746308016886362,0.8890626800796878
28,0.2920143740963777,0.8843069944720908,0.2747685134308797,0.8889309646508718
29,0.29130153075347015,0.8843419812388609,0.2743232591239885,0.889721257223768
30,0.2914539928263787,0.8847144874027059,0.2748278338360728,0.8892108599371059
31,0.29157332725160606,0.8845354374786478,0.27435195596505413,0.8894248975089319
32,0.29129132632010524,0.8846774425908318,0.2739458362703719,0.889375504223126
33,0.29072082446569664,0.8849408723641587,0.2737708200646775,0.889622470652156
34,0.2914007179972464,0.8846198173279166,0.2737501265944284,0.8900670102244101
35,0.2909291477475086,0.884574540335626,0.27486976526795004,0.8895236840805439
36,0.2903758070159006,0.8846321655985413,0.2740034516090239,0.8900011525100021
37,0.29058306623664854,0.8849182338680135,0.2735613432854705,0.88957307736635
38,0.2907228822898738,0.8846568621397907,0.27400841361302214,0.8891285377940958
39,0.29025585643373925,0.8844819283059407,0.27315477379883163,0.8899188303669922
40,0.29057728121773596,0.8848791310110352,0.2732068431572308,0.8902481189390322
41,0.2902558703776525,0.8849964395819698,0.2747672248230525,0.889540148509146
42,0.2903270190266305,0.8849038275522846,0.27299877111760684,0.889770650509574
43,0.29013824781934416,0.8850622970253016,0.2731590269784119,0.8899682236527982
44,0.2900781479493817,0.8846774425908318,0.27366668223502527,0.8903633699392463
45,0.28993691585116527,0.8847494741694759,0.2729677193960156,0.8901328679388182
46,0.2900306996748401,0.8850581809350934,0.2731464720431614,0.8901493323674202
47,0.2898540575802958,0.8847968092068705,0.2735550243182451,0.88965539950936
48,0.28967751840587963,0.8848379701089529,0.27335262145688655,0.8901822612246242
49,0.2890887853519775,0.8856406076995583,0.27321861942247355,0.8897871149381761
50,0.28959831273022046,0.8851158061980087,0.27295532353765917,0.8903962987964502
51,0.289457870533206,0.8850890516116551,0.27328562537295875,0.8903633699392463
52,0.28950188004781,0.8850993418371758,0.2736523166755933,0.889869437081186
53,0.28912234997428327,0.8852434049944639,0.2731842902280514,0.889704792795166
54,0.2890258161718517,0.8853792359713355,0.27334310682908003,0.889556612937748
55,0.28955018266319893,0.8849017695071805,0.2733888416073639,0.8894248975089319
56,0.2899256541289877,0.885103457927384,0.27367898967758447,0.889770650509574
57,0.28898062422036885,0.8853504233398779,0.2732443855682097,0.8903469055106442
