book_id,title,author,language,source_url,clean_path,quality_status,reject_reason
58102,Representative British Orations Volume 4 (of 4) With Introductions and Explanatory Notes,"Alden, John B. (John Berry), 1847-1924 [Editor]",en,https://www.gutenberg.org/cache/epub/58102/pg58102.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/58102.txt,accepted,
58243,"The Korea Review, Vol. 5 No. 5, May 1905","Various; Hulbert, Homer B. (Homer Bezaleel), 1863-1949 [Editor]",en,https://www.gutenberg.org/cache/epub/58243/pg58243.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/58243.txt,accepted,
58344,Siddhartha: A Poem of India,"Hesse, Hermann, 1877-1962; Wyllie, David (Translator) [Translator]",en,https://www.gutenberg.org/cache/epub/58344/pg58344.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/58344.txt,accepted,
58436,Multitude and Solitude,"Masefield, John, 1878-1967",en,https://www.gutenberg.org/cache/epub/58436/pg58436.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/58436.txt,accepted,
58493,"The American Bee Journal, Volume XXXIII, No. 2, January 11, 1894","Various; York, George W. [Editor]",en,https://www.gutenberg.org/cache/epub/58493/pg58493.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/58493.txt,accepted,
58602,"A Treatise on Fractures, Luxations, and Other Affections of the Bones","Desault, P.-J. (Pierre-Joseph), 1738-1795; Bichat, Xavier, 1771-1802 [Editor]; Caldwell, Charles, 1772-1853 [Translator]",en,https://www.gutenberg.org/cache/epub/58602/pg58602.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/58602.txt,accepted,
58673,It Takes a Thief,"Miller, Walter M., 1923-1996",en,https://www.gutenberg.org/cache/epub/58673/pg58673.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/58673.txt,accepted,
58988,"Character Sketches of Romance, Fiction, and the Drama, Vol. 4 A Revised American Edition of the Reader's Handbook","Brewer, Ebenezer Cobham, 1810-1897; Harland, Marion, 1830-1922 [Editor]",en,https://www.gutenberg.org/cache/epub/58988/pg58988.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/58988.txt,accepted,
59033,"Popular Romances of the West of England, Second Series or, The Drolls, Traditions, and Superstitions of Old Cornwall","Hunt, Robert, 1807-1887",en,https://www.gutenberg.org/cache/epub/59033/pg59033.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/59033.txt,accepted,
59227,Index of the Project Gutenberg Works of Charlotte Perkins Gilman,"Gilman, Charlotte Perkins, 1860-1935; Widger, David, 1932-2021? [Editor]",en,https://www.gutenberg.org/cache/epub/59227/pg59227.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/59227.txt,accepted,
59239,The Flying Inn,"Chesterton, G. K. (Gilbert Keith), 1874-1936",en,https://www.gutenberg.org/cache/epub/59239/pg59239.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/59239.txt,accepted,
59347,Circe's Daughter,"Craven, Priscilla",en,https://www.gutenberg.org/cache/epub/59347/pg59347.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/59347.txt,accepted,
59371,"The Girl's Own Paper, Vol. XX. No. 1011, May 13, 1899",Various,en,https://www.gutenberg.org/cache/epub/59371/pg59371.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/59371.txt,accepted,
59403,Jekyll-Hyde Planet,"Lewis, Jack",en,https://www.gutenberg.org/cache/epub/59403/pg59403.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/59403.txt,accepted,
59404,The Drivers,"Ludwig, Edward W., 1920-1990; Hunter, Mel, 1927-2004 [Illustrator]",en,https://www.gutenberg.org/cache/epub/59404/pg59404.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/59404.txt,accepted,
59407,Index of the Project Gutenberg Works of James De Mille,"De Mille, James, 1833-1880; Widger, David, 1932-2021? [Editor]",en,https://www.gutenberg.org/cache/epub/59407/pg59407.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/59407.txt,accepted,
59473,The Story of Dutch Painting,"Caffin, Charles H. (Charles Henry), 1854-1918",en,https://www.gutenberg.org/cache/epub/59473/pg59473.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/59473.txt,accepted,
59485,Wintering Bees in Cellars,"Phillips, Everett Franklin, 1878-1951; Demuth, Geo. S. (George S.), 1871-1934",en,https://www.gutenberg.org/cache/epub/59485/pg59485.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/59485.txt,accepted,
59505,Sales Resistance,"Still, Henry, 1920-; Emshwiller, Ed, 1925-1990 [Illustrator]",en,https://www.gutenberg.org/cache/epub/59505/pg59505.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/59505.txt,accepted,
59510,Dr. Southwood Smith: A Retrospect,"Lewes, Gertrude Hill",en,https://www.gutenberg.org/cache/epub/59510/pg59510.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/59510.txt,accepted,
59587,Corbow's Theory,"Wallot, Lee; Hunter, Mel, 1927-2004 [Illustrator]",en,https://www.gutenberg.org/cache/epub/59587/pg59587.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/59587.txt,accepted,
59693,The Old Goat,"Fontenay, Charles L., 1917-2007",en,https://www.gutenberg.org/cache/epub/59693/pg59693.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/59693.txt,accepted,
59791,The Writing of News A Handbook with Chapters on Newspaper Correspondence and Copy Reading,"Ross, Charles G. (Charles Griffith), 1885-1950",en,https://www.gutenberg.org/cache/epub/59791/pg59791.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/59791.txt,accepted,
59851,The Chaldean Magician An Adventure in Rome in the Reign of the Emperor Diocletian,"Eckstein, Ernst, 1845-1900; Safford, Mary J. (Mary Joanna), 1842-1916 [Translator]",en,https://www.gutenberg.org/cache/epub/59851/pg59851.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/59851.txt,accepted,
60172,"Harper's Round Table, December 22, 1896",Various,en,https://www.gutenberg.org/cache/epub/60172/pg60172.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/60172.txt,accepted,
60196,Full Speed Ahead: Tales from the Log of a Correspondent with Our Navy,"Beston, Henry, 1888-1968",en,https://www.gutenberg.org/cache/epub/60196/pg60196.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/60196.txt,accepted,
60244,"Larry Dexter, Reporter; Or, Strange Adventures in a Great City","Garis, Howard Roger, 1873-1962",en,https://www.gutenberg.org/cache/epub/60244/pg60244.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/60244.txt,accepted,
60248,The Messiah of the Cylinder,"Emanuel, V. R. (Victor Rousseau), 1879-1960; Coll, Joseph Clement, 1881-1921 [Illustrator]",en,https://www.gutenberg.org/cache/epub/60248/pg60248.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/60248.txt,accepted,
60297,The World Above: A Duologue,"Crow, Martha Foote, 1854-1924",en,https://www.gutenberg.org/cache/epub/60297/pg60297.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/60297.txt,accepted,
60313,Agriculture of the Hidatsa Indians: An Indian Interpretation,"Waheenee, 1839?-1932; Wilson, Gilbert Livingstone, 1868-1930; Jenks, Albert Ernest, 1869-1953 [Author of introduction, etc.]; Goodbird, Edward, 1869- [Contributor]",en,https://www.gutenberg.org/cache/epub/60313/pg60313.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/60313.txt,accepted,
60363,Ninth Cavalry: One Hundred and Twenty-first Regiment Indiana Volunteers,"Comstock, Daniel Webster, 1840-1917",en,https://www.gutenberg.org/cache/epub/60363/pg60363.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/60363.txt,accepted,
60472,London Clubs: Their History & Treasures,"Nevill, Ralph, 1865-1930",en,https://www.gutenberg.org/cache/epub/60472/pg60472.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/60472.txt,accepted,
60726,Summer Guests,"Schmitz, James H., 1911-1981; Wood, Wallace, 1927-1981 [Illustrator]",en,https://www.gutenberg.org/cache/epub/60726/pg60726.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/60726.txt,accepted,
60762,The Divers,"Stamers, James; Wood, Wallace, 1927-1981 [Illustrator]",en,https://www.gutenberg.org/cache/epub/60762/pg60762.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/60762.txt,accepted,
60831,"Between Heathenism and Christianity Being a translation of Seneca's De Providentia, and Plutarch's De sera numinis vindicta, together with notes, additional extracts from these writers and two essays on Graeco-Roman life in the first century after Christ.","Super, Charles William, 1842-1939; Plutarch, 46-120?; Seneca, Lucius Annaeus, 5? BCE-65",en,https://www.gutenberg.org/cache/epub/60831/pg60831.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/60831.txt,accepted,
60853,Rachel Jackson,"Stokes, Nellie Treanor",en,https://www.gutenberg.org/cache/epub/60853/pg60853.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/60853.txt,accepted,
60903,"The Bradys' Race for Life; or, Rounding Up a Tough Trio: A Detective Story of Life","Doughty, Francis Worcester, 1850-1917",en,https://www.gutenberg.org/cache/epub/60903/pg60903.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/60903.txt,accepted,
60912,On the Training of Parents,"Abbott, Ernest Hamlin, 1870-1931",en,https://www.gutenberg.org/cache/epub/60912/pg60912.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/60912.txt,accepted,
60957,The Court of Chancery: a satirical poem.,"Blewitt, Reginald James, 1799-1878",en,https://www.gutenberg.org/cache/epub/60957/pg60957.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/60957.txt,accepted,
61267,The Surgery of the Skull and Brain,"Rawling, Louis Bathe",en,https://www.gutenberg.org/cache/epub/61267/pg61267.txt,/home/husam/Desktop/YTU-YL/veri sıkıştırma/data-comp-project/data/processed/books/61267.txt,accepted,
