book_id,algorithm,bpb,compression_ratio,compress_ms_per_kb,decompress_ms_per_kb,valid,lossless
10510,adaptive,5.679898648648648,0.709987331081081,2.572548540696074,0.3875450811638321,True,True
11960,adaptive,5.896905154742263,0.7371131443427829,0.7398820075087116,0.38534480310828617,True,True
12020,adaptive,5.603559466080088,0.700444933260011,0.6867236923496228,0.3760505492050266,True,True
12205,adaptive,5.7568,0.7196,0.682517248019576,0.37836559358984234,True,True
12280,adaptive,5.898437109901633,0.7373046387377041,0.7361899387070379,0.4015141991018481,True,True
1341,adaptive,5.478366637706342,0.6847958297132928,0.6959128021209992,0.3830346287746827,True,True
13491,adaptive,6.053589282143571,0.7566986602679464,0.7812017371918626,0.4217618682686745,True,True
14494,adaptive,5.774222577742226,0.7217778222177782,0.7013281390671372,0.3852034891865132,True,True
15232,adaptive,6.0228,0.75285,0.7502769151702523,0.403382220864296,True,True
15417,adaptive,5.78166375218586,0.7227079690232325,0.7407028152663917,0.4003498752564452,True,True
15670,adaptive,5.4916,0.68645,0.6938144767656922,0.37378621436655524,True,True
16229,adaptive,5.9148,0.73935,0.8310189569368959,0.4091399168595672,True,True
16288,adaptive,5.6596,0.70745,0.671450879983604,0.3837215231731534,True,True
16578,adaptive,5.702,0.71275,0.7280739327892661,0.38695019520819185,True,True
16891,adaptive,5.504,0.688,0.6915415039286017,0.3714609663933516,True,True
16928,adaptive,5.9404,0.74255,0.7460730878636241,0.40989859849214555,True,True
16996,adaptive,5.6832,0.7104,0.7281805824488401,0.38601712640374897,True,True
17182,adaptive,5.6744,0.7093,0.7733171198517084,0.3932146687060595,True,True
17217,adaptive,5.7116,0.71395,0.7342085631564259,0.38332912642508743,True,True
18056,adaptive,5.8176,0.7272,0.696865126490593,0.4006152704358101,True,True
18728,adaptive,5.523666716649172,0.6904583395811466,0.6950511448835691,0.37118231664207046,True,True
19477,adaptive,5.4872,0.6859,0.6650690047070384,0.36721198074519634,True,True
19659,adaptive,5.5144,0.6893,0.6868939775973558,0.40602920968085526,True,True
20776,adaptive,6.121815286624204,0.7652269108280255,0.7892612482429998,0.4015844076157067,True,True
21002,adaptive,5.5584,0.6948,0.6632745984941721,0.37239505909383297,True,True
21049,adaptive,5.5448,0.6931,0.6640050686895848,0.37026979830116036,True,True
21060,adaptive,5.5776,0.6972,0.6400769025087356,0.3674761727452278,True,True
21464,adaptive,5.6612,0.70765,0.653167462348938,0.37809423375874757,True,True
22683,adaptive,5.658,0.70725,0.7340680193156004,0.37912273928523066,True,True
23560,adaptive,5.594,0.69925,0.6663462398573756,0.3796269569545984,True,True
24504,adaptive,5.4976,0.6872,0.6915214847773313,0.37534673921763895,True,True
24742,adaptive,5.5268,0.69085,0.6523061759769917,0.37511895038187504,True,True
24827,adaptive,5.5788,0.69735,0.7034875903278589,0.3798459904268384,True,True
2516,adaptive,5.694820717131474,0.7118525896414343,0.707357628753342,0.3801107378787847,True,True
25234,adaptive,5.7776,0.7222,0.6594945024698973,0.3823303679004312,True,True
25282,adaptive,5.5664,0.6958,0.6351667201146484,0.3763152385130525,True,True
25345,adaptive,5.4396,0.67995,0.6307664385065437,0.36933980155736207,True,True
25511,adaptive,5.4930857171384355,0.6866357146423044,0.6999634790260444,0.38705098936825694,True,True
26138,adaptive,5.4032,0.6754,0.6598853632807732,0.36287682559341194,True,True
26337,adaptive,5.8896,0.7362,0.7728092672303319,0.39023016951978207,True,True
266,adaptive,5.761823817618239,0.7202279772022798,0.6765934861522236,0.3674717841834,True,True
27322,adaptive,5.5356,0.69195,0.6328916991129517,0.3584780801087618,True,True
27456,adaptive,5.790187042558959,0.7237733803198699,0.8020740235666171,0.39318879709298066,True,True
29047,adaptive,5.1136,0.6392,0.6614417409524321,0.3554613247513771,True,True
2918,adaptive,5.9976,0.7497,0.7287669759243727,0.42013701107352974,True,True
29340,adaptive,5.4304,0.6788,0.8432713216170669,0.3828068863600492,True,True
29559,adaptive,5.7192,0.7149,0.6455795710906387,0.40401525776833297,True,True
29664,adaptive,5.9244,0.74055,0.7171260416507721,0.4026564097031951,True,True
30203,adaptive,5.656,0.707,0.6850446848198771,0.38759398404508827,True,True
3030,adaptive,5.863783783783783,0.7329729729729729,0.6898320166060028,0.40804502968413237,True,True
