book_id,algorithm,bpb,compression_ratio,compress_ms_per_kb,decompress_ms_per_kb,valid,lossless
10510,huffman,4.589527027027027,0.5736908783783784,0.17876086467121904,0.32055427004092346,True,True
10510,lzw,4.231418918918919,0.5289273648648649,0.3158447566297459,0.2364171893065292,True,True
10510,arithmetic,5.474662162162162,0.6843327702702703,2.093477297347744,5.983967783568251,True,True
10510,bwt_mtf,3.6157094594594597,0.45196368243243246,5.656649513528808,0.6250433515241319,True,True
10510,rle_huffman,4.602195945945946,0.5752744932432432,0.3992754594750098,0.4080121080561012,True,True
11960,huffman,4.696165191740413,0.5870206489675516,0.13983208688162166,0.3368188965815877,True,True
11960,lzw,4.494575271236438,0.5618219089045547,0.36324343152042865,0.25270114411658556,True,True
11960,arithmetic,5.384930753462327,0.6731163441827909,2.1811015177554447,5.451660908184602,True,True
11960,bwt_mtf,3.6090195490225487,0.4511274436278186,11.133162945011284,0.6322747672041037,True,True
11960,rle_huffman,4.71776411179441,0.5897205139743013,0.37335722980681174,0.41068441304235026,True,True
12020,huffman,4.685697145428186,0.5857121431785233,0.1454312924768891,0.32196304632509753,True,True
12020,lzw,4.362545618157276,0.5453182022696595,0.335950221893746,0.24624827237765218,True,True
12020,arithmetic,5.373593960905864,0.671699245113233,2.1330147805836344,5.789416182838559,True,True
12020,bwt_mtf,3.405089236614508,0.4256361545768135,10.654799143299487,0.6104914149969618,True,True
12020,rle_huffman,4.692896065590161,0.5866120081987701,0.3891945360529657,0.39155951880403905,True,True
12205,huffman,4.6044,0.57555,0.14126469120383262,0.30967229437083005,True,True
12205,lzw,4.2396,0.52995,0.31669642236083745,0.23219845127314329,True,True
12205,arithmetic,5.2968,0.6621,2.1478067712858318,6.408401612937451,True,True
12205,bwt_mtf,3.2532,0.40665,10.117780428752303,0.5990441983565689,True,True
12205,rle_huffman,4.6088,0.5761,0.37531596794724464,0.40042501110583545,True,True
12280,huffman,4.738003695011734,0.5922504618764668,0.14806737315162488,0.34770513894721405,True,True
12280,lzw,4.544664702651421,0.5680830878314276,0.36429535014782816,0.25119276806312596,True,True
12280,arithmetic,5.421081539921106,0.6776351924901383,2.6069232519602,6.211435873476787,True,True
12280,bwt_mtf,3.6111249812752786,0.4513906226594098,10.306273973444382,0.6176217625577695,True,True
12280,rle_huffman,4.778349228541469,0.5972936535676836,0.3865335396884735,0.39368292813729183,True,True
